Date,Open,High,Low,Close,Change (Pips),Change (%)
Jul 05 2017 09:00,113.567,113.585,113.506,113.551,-1.6,-0.01%
Jul 05 2017 08:00,113.485,113.595,113.485,113.565,8,0.07%
Jul 05 2017 07:00,113.234,113.583,113.203,113.487,25.3,0.22%
Jul 05 2017 06:00,113.188,113.313,113.176,113.229,4.1,0.04%
Jul 05 2017 05:00,113.165,113.244,113.144,113.189,2.4,0.02%
Jul 05 2017 04:00,113.044,113.166,113.038,113.165,12.1,0.11%
Jul 05 2017 03:00,112.941,113.086,112.941,113.043,10.2,0.09%
Jul 05 2017 02:00,112.892,112.973,112.826,112.944,5.2,0.05%
Jul 05 2017 01:00,113.03,113.058,112.862,112.892,-13.8,-0.12%
Jul 05 2017 00:00,112.971,113.093,112.922,113.032,6.1,0.05%
Jul 04 2017 23:00,113.056,113.132,112.902,112.968,-8.8,-0.08%
Jul 04 2017 22:00,113.301,113.357,112.979,113.054,-24.7,-0.22%
Jul 04 2017 21:00,113.27,113.324,113.26,113.303,3.3,0.03%
Jul 04 2017 20:00,113.266,113.289,113.248,113.283,1.7,0.02%
Jul 04 2017 19:00,113.211,113.267,113.205,113.265,5.4,0.05%
Jul 04 2017 18:00,113.198,113.219,113.183,113.207,0.9,0.01%
Jul 04 2017 17:00,113.183,113.209,113.178,113.203,2,0.02%
Jul 04 2017 16:00,113.177,113.218,113.17,113.182,0.5,0.00%
Jul 04 2017 15:00,113.126,113.2,113.124,113.176,5,0.04%
Jul 04 2017 14:00,113.217,113.23,113.118,113.129,-8.8,-0.08%
Jul 04 2017 13:00,113.194,113.25,113.19,113.215,2.1,0.02%
Jul 04 2017 12:00,113.181,113.26,113.17,113.193,1.2,0.01%
Jul 04 2017 11:00,113.191,113.202,113.141,113.181,-1,-0.01%
Jul 04 2017 10:00,113.192,113.214,113.135,113.192,0,0.00%
Jul 04 2017 09:00,113.183,113.261,113.166,113.191,0.8,0.01%
Jul 04 2017 08:00,113.111,113.286,113.099,113.185,7.4,0.07%
Jul 04 2017 07:00,112.845,113.13,112.844,113.111,26.6,0.24%
Jul 04 2017 06:00,112.952,113.045,112.74,112.844,-10.8,-0.10%
Jul 04 2017 05:00,113.132,113.132,112.888,112.952,-18,-0.16%
Jul 04 2017 04:00,113.196,113.222,113.082,113.13,-6.6,-0.06%
Jul 04 2017 03:00,113.235,113.259,113.167,113.196,-3.9,-0.03%
Jul 04 2017 02:00,113.248,113.297,113.225,113.234,-1.4,-0.01%
Jul 04 2017 01:00,113.167,113.278,113.129,113.248,8.1,0.07%
Jul 04 2017 00:00,113.384,113.391,113.136,113.169,-21.5,-0.19%
Jul 03 2017 23:00,113.324,113.401,113.323,113.383,5.9,0.05%
Jul 03 2017 22:00,113.393,113.413,113.311,113.326,-6.7,-0.06%
Jul 03 2017 21:00,113.349,113.451,113.255,113.389,4,0.04%
Jul 03 2017 20:00,113.448,113.473,113.382,113.384,-6.4,-0.06%
Jul 03 2017 19:00,113.39,113.448,113.375,113.448,5.8,0.05%
Jul 03 2017 18:00,113.411,113.444,113.371,113.391,-2,-0.02%
Jul 03 2017 17:00,113.393,113.409,113.314,113.407,1.4,0.01%
Jul 03 2017 16:00,113.33,113.419,113.271,113.398,6.8,0.06%
Jul 03 2017 15:00,113.299,113.457,113.29,113.327,2.8,0.02%
Jul 03 2017 14:00,113.041,113.318,113.041,113.296,25.5,0.23%
Jul 03 2017 13:00,112.985,113.091,112.978,113.026,4.1,0.04%
Jul 03 2017 12:00,112.98,113.011,112.85,112.987,0.7,0.01%
Jul 03 2017 11:00,113.039,113.054,112.946,112.979,-6,-0.05%
Jul 03 2017 10:00,112.91,113.081,112.906,113.041,13.1,0.12%
Jul 03 2017 09:00,112.897,112.913,112.833,112.908,1.1,0.01%
Jul 03 2017 08:00,112.79,112.941,112.786,112.895,10.5,0.09%
Jul 03 2017 07:00,112.553,112.867,112.525,112.787,23.4,0.21%
Jul 03 2017 06:00,112.491,112.644,112.474,112.554,6.3,0.06%
Jul 03 2017 05:00,112.541,112.547,112.452,112.49,-5.1,-0.05%
Jul 03 2017 04:00,112.533,112.575,112.497,112.543,1,0.01%
Jul 03 2017 03:00,112.427,112.548,112.393,112.531,10.4,0.09%
Jul 03 2017 02:00,112.356,112.444,112.333,112.429,7.3,0.06%
Jul 03 2017 01:00,112.254,112.369,112.24,112.355,10.1,0.09%
Jul 03 2017 00:00,112.244,112.349,112.198,112.257,1.3,0.01%
Jul 02 2017 23:00,112.274,112.385,112.228,112.242,-3.2,-0.03%
Jul 02 2017 22:00,112.215,112.346,112.215,112.279,6.4,0.06%
Jul 02 2017 21:00,112.11,112.262,112.096,112.218,10.8,0.10%
Jun 30 2017 20:00,112.464,112.501,112.39,112.409,-5.5,-0.05%
Jun 30 2017 19:00,112.597,112.598,112.445,112.461,-13.6,-0.12%
Jun 30 2017 18:00,112.39,112.602,112.376,112.596,20.6,0.18%
Jun 30 2017 17:00,112.35,112.462,112.314,112.392,4.2,0.04%
Jun 30 2017 16:00,112.398,112.456,112.311,112.354,-4.4,-0.04%
Jun 30 2017 15:00,112.343,112.397,112.293,112.396,5.3,0.05%
Jun 30 2017 14:00,112.151,112.376,112.009,112.343,19.2,0.17%
Jun 30 2017 13:00,112.129,112.262,112.027,112.151,2.2,0.02%
Jun 30 2017 12:00,111.989,112.24,111.857,112.127,13.8,0.12%
Jun 30 2017 11:00,112.012,112.049,111.935,111.989,-2.3,-0.02%
Jun 30 2017 10:00,111.96,112.053,111.931,112.009,4.9,0.04%
Jun 30 2017 09:00,111.882,111.996,111.82,111.966,8.4,0.08%
Jun 30 2017 08:00,112.057,112.08,111.851,111.879,-17.8,-0.16%
Jun 30 2017 07:00,112.033,112.152,111.852,112.058,2.5,0.02%
Jun 30 2017 06:00,111.996,112.094,111.915,112.032,3.6,0.03%
Jun 30 2017 05:00,111.904,112.011,111.89,111.995,9.1,0.08%
Jun 30 2017 04:00,111.831,111.907,111.761,111.904,7.3,0.07%
Jun 30 2017 03:00,111.834,111.884,111.81,111.833,-0.1,0.00%
Jun 30 2017 02:00,112.029,112.029,111.732,111.836,-19.3,-0.17%
Jun 30 2017 01:00,111.97,112.041,111.855,112.026,5.6,0.05%
Jun 30 2017 00:00,111.993,112.138,111.907,111.971,-2.2,-0.02%
Jun 29 2017 23:00,111.962,112.034,111.889,111.989,2.7,0.02%
Jun 29 2017 22:00,112.13,112.147,111.927,111.965,-16.5,-0.15%
Jun 29 2017 21:00,112.176,112.176,112.048,112.124,-5.2,-0.05%
Jun 29 2017 20:00,112.061,112.174,112.055,112.166,10.5,0.09%
Jun 29 2017 19:00,112.07,112.1,112.008,112.063,-0.7,-0.01%
Jun 29 2017 18:00,111.95,112.073,111.878,112.068,11.8,0.11%
Jun 29 2017 17:00,111.971,112.065,111.812,111.95,-2.1,-0.02%
Jun 29 2017 16:00,112.312,112.355,111.9,111.969,-34.3,-0.31%
Jun 29 2017 15:00,112.607,112.61,112.26,112.31,-29.7,-0.26%
Jun 29 2017 14:00,112.618,112.637,112.408,112.608,-1,-0.01%
Jun 29 2017 13:00,112.85,112.927,112.566,112.621,-22.9,-0.20%
Jun 29 2017 12:00,112.68,112.873,112.611,112.848,16.8,0.15%
Jun 29 2017 11:00,112.55,112.746,112.54,112.681,13.1,0.12%
Jun 29 2017 10:00,112.427,112.598,112.392,112.553,12.6,0.11%
Jun 29 2017 09:00,112.557,112.63,112.415,112.423,-13.4,-0.12%
Jun 29 2017 08:00,112.506,112.638,112.506,112.557,5.1,0.05%
Jun 29 2017 07:00,112.314,112.51,112.28,112.506,19.2,0.17%
Jun 29 2017 06:00,112.193,112.356,112.134,112.312,11.9,0.11%
Jun 29 2017 05:00,112.25,112.258,112.165,112.197,-5.3,-0.05%
Jun 29 2017 04:00,112.282,112.299,112.239,112.25,-3.2,-0.03%
Jun 29 2017 03:00,112.259,112.297,112.248,112.279,2,0.02%
Jun 29 2017 02:00,112.214,112.269,112.179,112.261,4.7,0.04%
Jun 29 2017 01:00,112.232,112.279,112.161,112.217,-1.5,-0.01%
Jun 29 2017 00:00,112.351,112.38,112.224,112.227,-12.4,-0.11%
Jun 28 2017 23:00,112.33,112.383,112.289,112.35,2,0.02%
Jun 28 2017 22:00,112.281,112.477,112.281,112.335,5.4,0.05%
Jun 28 2017 21:00,112.279,112.325,112.245,112.279,0,0.00%
Jun 28 2017 20:00,112.246,112.339,112.246,112.33,8.4,0.07%
Jun 28 2017 19:00,112.26,112.286,112.2,112.242,-1.8,-0.02%
Jun 28 2017 18:00,112.308,112.361,112.258,112.263,-4.5,-0.04%
Jun 28 2017 17:00,112.223,112.317,112.177,112.306,8.3,0.07%
Jun 28 2017 16:00,112.172,112.26,112.137,112.226,5.4,0.05%
Jun 28 2017 15:00,112.138,112.209,112.117,112.168,3,0.03%
Jun 28 2017 14:00,112.095,112.267,112.017,112.142,4.7,0.04%
Jun 28 2017 13:00,112.064,112.315,112.022,112.096,3.2,0.03%
Jun 28 2017 12:00,112.119,112.149,111.922,112.059,-6,-0.05%
Jun 28 2017 11:00,112.176,112.182,112.055,112.119,-5.7,-0.05%
Jun 28 2017 10:00,112.172,112.227,112.143,112.176,0.4,0.00%
Jun 28 2017 09:00,111.954,112.192,111.924,112.172,21.8,0.19%
Jun 28 2017 08:00,112.145,112.179,111.829,111.956,-18.9,-0.17%
Jun 28 2017 07:00,112.35,112.414,112.093,112.143,-20.7,-0.18%
Jun 28 2017 06:00,112.162,112.401,112.125,112.355,19.3,0.17%
Jun 28 2017 05:00,112.115,112.24,112.115,112.159,4.4,0.04%
Jun 28 2017 04:00,112.111,112.141,112.08,112.115,0.4,0.00%
Jun 28 2017 03:00,112.074,112.122,112.035,112.109,3.5,0.03%
Jun 28 2017 02:00,112.099,112.137,112.03,112.073,-2.6,-0.02%
Jun 28 2017 01:00,112.13,112.217,112.073,112.098,-3.2,-0.03%
Jun 28 2017 00:00,112.196,112.24,112.061,112.131,-6.5,-0.06%
Jun 27 2017 23:00,112.239,112.258,112.164,112.196,-4.3,-0.04%
Jun 27 2017 22:00,112.273,112.304,112.235,112.239,-3.4,-0.03%
Jun 27 2017 21:00,112.342,112.353,112.22,112.274,-6.8,-0.06%
Jun 27 2017 20:00,112.171,112.368,112.156,112.35,17.9,0.16%
Jun 27 2017 19:00,112.148,112.176,112.082,112.174,2.6,0.02%
Jun 27 2017 18:00,112.223,112.24,112.063,112.144,-7.9,-0.07%
Jun 27 2017 17:00,112.38,112.442,112.185,112.227,-15.3,-0.14%
Jun 27 2017 16:00,112.42,112.466,112.273,112.377,-4.3,-0.04%
Jun 27 2017 15:00,112.217,112.45,112.204,112.422,20.5,0.18%
Jun 27 2017 14:00,111.948,112.246,111.947,112.218,27,0.24%
Jun 27 2017 13:00,111.952,111.975,111.827,111.945,-0.7,-0.01%
Jun 27 2017 12:00,111.942,111.993,111.842,111.955,1.3,0.01%
Jun 27 2017 11:00,111.769,111.945,111.767,111.936,16.7,0.15%
Jun 27 2017 10:00,111.73,111.804,111.685,111.771,4.1,0.04%
Jun 27 2017 09:00,111.594,111.748,111.58,111.732,13.8,0.12%
Jun 27 2017 08:00,111.632,111.632,111.459,111.59,-4.2,-0.04%
Jun 27 2017 07:00,111.677,111.75,111.61,111.634,-4.3,-0.04%
Jun 27 2017 06:00,111.803,111.819,111.612,111.68,-12.3,-0.11%
Jun 27 2017 05:00,111.825,111.836,111.759,111.801,-2.4,-0.02%
Jun 27 2017 04:00,111.882,111.918,111.823,111.825,-5.7,-0.05%
Jun 27 2017 03:00,111.905,111.913,111.855,111.886,-1.9,-0.02%
Jun 27 2017 02:00,111.946,111.972,111.856,111.899,-4.7,-0.04%
Jun 27 2017 01:00,111.965,112.075,111.933,111.948,-1.7,-0.02%
Jun 27 2017 00:00,111.871,111.995,111.871,111.967,9.6,0.09%
Jun 26 2017 23:00,111.864,111.909,111.852,111.869,0.5,0.00%
Jun 26 2017 22:00,111.856,111.888,111.838,111.865,0.9,0.01%
Jun 26 2017 21:00,111.843,111.876,111.825,111.854,1.1,0.01%
Jun 26 2017 20:00,111.865,111.92,111.853,111.862,-0.3,0.00%
Jun 26 2017 19:00,111.884,111.943,111.845,111.862,-2.2,-0.02%
Jun 26 2017 18:00,111.681,111.935,111.652,111.886,20.5,0.18%
Jun 26 2017 17:00,111.695,111.7,111.618,111.684,-1.1,-0.01%
Jun 26 2017 16:00,111.486,111.712,111.479,111.696,21,0.19%
Jun 26 2017 15:00,111.436,111.525,111.388,111.485,4.9,0.04%
Jun 26 2017 14:00,111.529,111.559,111.363,111.434,-9.5,-0.09%
Jun 26 2017 13:00,111.442,111.535,111.373,111.532,9,0.08%
Jun 26 2017 12:00,111.655,111.706,111.354,111.441,-21.4,-0.19%
Jun 26 2017 11:00,111.649,111.727,111.634,111.656,0.7,0.01%
Jun 26 2017 10:00,111.683,111.701,111.579,111.65,-3.3,-0.03%
Jun 26 2017 09:00,111.644,111.717,111.641,111.685,4.1,0.04%
Jun 26 2017 08:00,111.455,111.671,111.439,111.639,18.4,0.16%
Jun 26 2017 07:00,111.387,111.492,111.387,111.457,7,0.06%
Jun 26 2017 06:00,111.296,111.395,111.293,111.389,9.3,0.08%
Jun 26 2017 05:00,111.315,111.323,111.283,111.295,-2,-0.02%
Jun 26 2017 04:00,111.308,111.339,111.296,111.315,0.7,0.01%
Jun 26 2017 03:00,111.289,111.32,111.276,111.306,1.7,0.02%
Jun 26 2017 02:00,111.322,111.33,111.275,111.29,-3.2,-0.03%
Jun 26 2017 01:00,111.288,111.326,111.271,111.32,3.2,0.03%
Jun 26 2017 00:00,111.235,111.349,111.211,111.29,5.5,0.05%
Jun 25 2017 23:00,111.218,111.258,111.21,111.234,1.6,0.01%
Jun 25 2017 22:00,111.26,111.277,111.2,111.219,-4.1,-0.04%
Jun 25 2017 21:00,111.138,111.321,111.124,111.251,11.3,0.10%
Jun 23 2017 20:00,111.255,111.314,111.25,111.274,1.9,0.02%
Jun 23 2017 19:00,111.257,111.263,111.193,111.252,-0.5,0.00%
Jun 23 2017 18:00,111.287,111.295,111.24,111.264,-2.3,-0.02%
Jun 23 2017 17:00,111.297,111.313,111.245,111.284,-1.3,-0.01%
Jun 23 2017 16:00,111.265,111.322,111.238,111.296,3.1,0.03%
Jun 23 2017 15:00,111.264,111.293,111.205,111.267,0.3,0.00%
Jun 23 2017 14:00,111.265,111.327,111.243,111.269,0.4,0.00%
Jun 23 2017 13:00,111.308,111.338,111.155,111.26,-4.8,-0.04%
Jun 23 2017 12:00,111.239,111.335,111.2,111.308,6.9,0.06%
Jun 23 2017 11:00,111.233,111.263,111.205,111.239,0.6,0.01%
Jun 23 2017 10:00,111.206,111.251,111.151,111.233,2.7,0.02%
Jun 23 2017 09:00,111.206,111.313,111.197,111.207,0.1,0.00%
Jun 23 2017 08:00,111.288,111.296,111.165,111.209,-7.9,-0.07%
Jun 23 2017 07:00,111.273,111.36,111.25,111.282,0.9,0.01%
Jun 23 2017 06:00,111.288,111.314,111.213,111.273,-1.5,-0.01%
Jun 23 2017 05:00,111.325,111.325,111.247,111.293,-3.2,-0.03%
Jun 23 2017 04:00,111.314,111.349,111.314,111.327,1.3,0.01%
Jun 23 2017 03:00,111.344,111.367,111.305,111.31,-3.4,-0.03%
Jun 23 2017 02:00,111.317,111.368,111.31,111.348,3.1,0.03%
Jun 23 2017 01:00,111.393,111.432,111.303,111.316,-7.7,-0.07%
Jun 23 2017 00:00,111.294,111.401,111.22,111.39,9.6,0.09%
Jun 22 2017 23:00,111.285,111.305,111.236,111.297,1.2,0.01%
Jun 22 2017 22:00,111.278,111.314,111.273,111.281,0.3,0.00%
Jun 22 2017 21:00,111.32,111.323,111.238,111.278,-4.2,-0.04%
Jun 22 2017 20:00,111.239,111.325,111.229,111.313,7.4,0.07%
Jun 22 2017 19:00,111.35,111.358,111.238,111.242,-10.8,-0.10%
Jun 22 2017 18:00,111.4,111.447,111.315,111.348,-5.2,-0.05%
Jun 22 2017 17:00,111.314,111.422,111.289,111.396,8.2,0.07%
Jun 22 2017 16:00,111.371,111.38,111.285,111.316,-5.5,-0.05%
Jun 22 2017 15:00,111.357,111.432,111.308,111.368,1.1,0.01%
Jun 22 2017 14:00,111.153,111.446,111.113,111.356,20.3,0.18%
Jun 22 2017 13:00,111.125,111.247,111.075,111.147,2.2,0.02%
Jun 22 2017 12:00,111.323,111.365,111.108,111.125,-19.8,-0.18%
Jun 22 2017 11:00,111.288,111.375,111.287,111.323,3.5,0.03%
Jun 22 2017 10:00,111.109,111.31,111.098,111.283,17.4,0.16%
Jun 22 2017 09:00,111.09,111.142,111.026,111.114,2.4,0.02%
Jun 22 2017 08:00,111.009,111.099,110.997,111.085,7.6,0.07%
Jun 22 2017 07:00,111.127,111.128,110.956,111.014,-11.3,-0.10%
Jun 22 2017 06:00,110.977,111.168,110.976,111.124,14.7,0.13%
Jun 22 2017 05:00,111.111,111.154,110.975,110.98,-13.1,-0.12%
Jun 22 2017 04:00,111.151,111.153,111.078,111.108,-4.3,-0.04%
Jun 22 2017 03:00,111.023,111.168,110.996,111.15,12.7,0.11%
Jun 22 2017 02:00,111.136,111.145,110.951,111.026,-11,-0.10%
Jun 22 2017 01:00,111.132,111.179,111.066,111.134,0.2,0.00%
Jun 22 2017 00:00,111.329,111.353,111.11,111.133,-19.6,-0.18%
Jun 21 2017 23:00,111.361,111.361,111.255,111.325,-3.6,-0.03%
Jun 21 2017 22:00,111.409,111.428,111.334,111.363,-4.6,-0.04%
Jun 21 2017 21:00,111.374,111.427,111.33,111.408,3.4,0.03%
Jun 21 2017 20:00,111.344,111.437,111.322,111.375,3.1,0.03%
Jun 21 2017 19:00,111.315,111.371,111.281,111.344,2.9,0.03%
Jun 21 2017 18:00,111.326,111.355,111.238,111.315,-1.1,-0.01%
Jun 21 2017 17:00,111.368,111.407,111.293,111.326,-4.2,-0.04%
Jun 21 2017 16:00,111.591,111.593,111.348,111.37,-22.1,-0.20%
Jun 21 2017 15:00,111.579,111.621,111.403,111.593,1.4,0.01%
Jun 21 2017 14:00,111.622,111.74,111.554,111.578,-4.4,-0.04%
Jun 21 2017 13:00,111.548,111.664,111.523,111.622,7.4,0.07%
Jun 21 2017 12:00,111.41,111.603,111.41,111.548,13.8,0.12%
Jun 21 2017 11:00,111.223,111.419,111.223,111.405,18.2,0.16%
Jun 21 2017 10:00,111.098,111.233,111.091,111.223,12.5,0.11%
Jun 21 2017 09:00,111.181,111.236,111.068,111.099,-8.2,-0.07%
Jun 21 2017 08:00,111.133,111.195,111.103,111.179,4.6,0.04%
Jun 21 2017 07:00,111.302,111.321,111.075,111.134,-16.8,-0.15%
Jun 21 2017 06:00,111.233,111.31,111.215,111.302,6.9,0.06%
Jun 21 2017 05:00,111.279,111.329,111.227,111.234,-4.5,-0.04%
Jun 21 2017 04:00,111.23,111.287,111.222,111.282,5.2,0.05%
Jun 21 2017 03:00,111.27,111.299,111.189,111.23,-4,-0.04%
Jun 21 2017 02:00,111.348,111.364,111.247,111.268,-8,-0.07%
Jun 21 2017 01:00,111.367,111.416,111.332,111.343,-2.4,-0.02%
Jun 21 2017 00:00,111.337,111.413,111.255,111.37,3.3,0.03%
Jun 20 2017 23:00,111.379,111.379,111.266,111.336,-4.3,-0.04%
Jun 20 2017 22:00,111.452,111.487,111.376,111.382,-7,-0.06%
Jun 20 2017 21:00,111.448,111.488,111.425,111.447,-0.1,0.00%
Jun 20 2017 20:00,111.457,111.486,111.438,111.443,-1.4,-0.01%
Jun 20 2017 19:00,111.399,111.482,111.395,111.462,6.3,0.06%
Jun 20 2017 18:00,111.459,111.513,111.378,111.394,-6.5,-0.06%
Jun 20 2017 17:00,111.461,111.569,111.441,111.463,0.2,0.00%
Jun 20 2017 16:00,111.464,111.517,111.397,111.463,-0.1,0.00%
Jun 20 2017 15:00,111.665,111.728,111.454,111.46,-20.5,-0.18%
Jun 20 2017 14:00,111.616,111.686,111.477,111.665,4.9,0.04%
Jun 20 2017 13:00,111.475,111.651,111.435,111.617,14.2,0.13%
Jun 20 2017 12:00,111.595,111.599,111.306,111.473,-12.2,-0.11%
Jun 20 2017 11:00,111.534,111.655,111.505,111.596,6.2,0.06%
Jun 20 2017 10:00,111.542,111.572,111.465,111.536,-0.6,-0.01%
Jun 20 2017 09:00,111.589,111.654,111.509,111.54,-4.9,-0.04%
Jun 20 2017 08:00,111.667,111.671,111.548,111.588,-7.9,-0.07%
Jun 20 2017 07:00,111.648,111.785,111.578,111.666,1.8,0.02%
Jun 20 2017 06:00,111.574,111.664,111.537,111.646,7.2,0.06%
Jun 20 2017 05:00,111.662,111.697,111.555,111.577,-8.5,-0.08%
Jun 20 2017 04:00,111.686,111.69,111.639,111.659,-2.7,-0.02%
Jun 20 2017 03:00,111.657,111.699,111.646,111.689,3.2,0.03%
Jun 20 2017 02:00,111.647,111.705,111.642,111.661,1.4,0.01%
Jun 20 2017 01:00,111.723,111.756,111.621,111.643,-8,-0.07%
Jun 20 2017 00:00,111.695,111.775,111.669,111.722,2.7,0.02%
Jun 19 2017 23:00,111.641,111.742,111.624,111.696,5.5,0.05%
Jun 19 2017 22:00,111.567,111.693,111.553,111.642,7.5,0.07%
Jun 19 2017 21:00,111.52,111.586,111.498,111.564,4.4,0.04%
Jun 19 2017 20:00,111.578,111.584,111.509,111.525,-5.3,-0.05%
Jun 19 2017 19:00,111.533,111.6,111.523,111.578,4.5,0.04%
Jun 19 2017 18:00,111.473,111.543,111.445,111.532,5.9,0.05%
Jun 19 2017 17:00,111.424,111.558,111.419,111.476,5.2,0.05%
Jun 19 2017 16:00,111.334,111.469,111.325,111.422,8.8,0.08%
Jun 19 2017 15:00,111.266,111.344,111.241,111.333,6.7,0.06%
Jun 19 2017 14:00,111.344,111.39,111.224,111.266,-7.8,-0.07%
Jun 19 2017 13:00,111.262,111.356,111.223,111.347,8.5,0.08%
Jun 19 2017 12:00,111.052,111.332,110.907,111.261,20.9,0.19%
Jun 19 2017 11:00,110.968,111.109,110.954,111.056,8.8,0.08%
Jun 19 2017 10:00,110.97,111.01,110.931,110.968,-0.2,0.00%
Jun 19 2017 09:00,111.027,111.05,110.921,110.968,-5.9,-0.05%
Jun 19 2017 08:00,111.107,111.133,111.006,111.029,-7.8,-0.07%
Jun 19 2017 07:00,111.01,111.208,111.006,111.106,9.6,0.09%
Jun 19 2017 06:00,111.021,111.109,110.996,111.01,-1.1,-0.01%
Jun 19 2017 05:00,110.974,111.021,110.908,111.019,4.5,0.04%
Jun 19 2017 04:00,111.039,111.051,110.972,110.978,-6.1,-0.05%
Jun 19 2017 03:00,110.989,111.066,110.984,111.042,5.3,0.05%
Jun 19 2017 02:00,110.969,111.041,110.947,110.988,1.9,0.02%
Jun 19 2017 01:00,111.066,111.097,110.945,110.969,-9.7,-0.09%
Jun 19 2017 00:00,110.972,111.136,110.933,111.065,9.3,0.08%
Jun 18 2017 23:00,110.846,110.976,110.84,110.969,12.3,0.11%
Jun 18 2017 22:00,110.818,110.904,110.781,110.848,3,0.03%
Jun 18 2017 21:00,110.855,110.896,110.727,110.818,-3.7,-0.03%
Jun 16 2017 20:00,110.837,110.898,110.825,110.857,2,0.02%
Jun 16 2017 19:00,110.841,110.875,110.781,110.841,0,0.00%
Jun 16 2017 18:00,110.844,110.85,110.797,110.837,-0.7,-0.01%
Jun 16 2017 17:00,110.831,110.872,110.767,110.849,1.8,0.02%
Jun 16 2017 16:00,110.84,110.914,110.822,110.824,-1.6,-0.01%
Jun 16 2017 15:00,110.674,110.862,110.658,110.838,16.4,0.15%
Jun 16 2017 14:00,110.877,110.969,110.646,110.677,-20,-0.18%
Jun 16 2017 13:00,111.103,111.132,110.82,110.878,-22.5,-0.20%
Jun 16 2017 12:00,111.387,111.395,111.098,111.104,-28.3,-0.25%
Jun 16 2017 11:00,111.273,111.42,111.271,111.384,11.1,0.10%
Jun 16 2017 10:00,111.315,111.338,111.237,111.268,-4.7,-0.04%
Jun 16 2017 09:00,111.327,111.336,111.247,111.317,-1,-0.01%
Jun 16 2017 08:00,111.177,111.367,111.174,111.327,15,0.13%
Jun 16 2017 07:00,111.222,111.285,111.117,111.175,-4.7,-0.04%
Jun 16 2017 06:00,111.151,111.379,111.052,111.225,7.4,0.07%
Jun 16 2017 05:00,111.215,111.24,111.054,111.152,-6.3,-0.06%
Jun 16 2017 04:00,111.201,111.272,111.187,111.218,1.7,0.02%
Jun 16 2017 03:00,111.115,111.259,111.113,111.202,8.7,0.08%
Jun 16 2017 02:00,111.143,111.271,110.998,111.115,-2.8,-0.03%
Jun 16 2017 01:00,111.079,111.164,111.021,111.146,6.7,0.06%
Jun 16 2017 00:00,110.997,111.154,110.988,111.08,8.3,0.07%
Jun 15 2017 23:00,110.863,110.995,110.84,110.993,13,0.12%
Jun 15 2017 22:00,110.872,110.91,110.847,110.861,-1.1,-0.01%
Jun 15 2017 21:00,110.902,110.923,110.828,110.873,-2.9,-0.03%
Jun 15 2017 20:00,110.92,110.952,110.891,110.942,2.2,0.02%
Jun 15 2017 19:00,110.862,110.922,110.819,110.922,6,0.05%
Jun 15 2017 18:00,110.965,110.973,110.857,110.863,-10.2,-0.09%
Jun 15 2017 17:00,110.95,110.982,110.832,110.964,1.4,0.01%
Jun 15 2017 16:00,110.656,110.968,110.651,110.949,29.3,0.26%
Jun 15 2017 15:00,110.619,110.77,110.518,110.652,3.3,0.03%
Jun 15 2017 14:00,110.429,110.784,110.408,110.623,19.4,0.18%
Jun 15 2017 13:00,110.335,110.464,110.208,110.425,9,0.08%
